level2.phylum.gg,level3.class.gg,level4.order.gg,level5.family.gg,level6.genus.gg
k__Bacteria;p__MAT-CR-M4-B07,k__Bacteria;p__Acidobacteria;c__OS-K,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__YC-E6,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__
k__Bacteria;p__MVP-21,k__Bacteria;p__Acidobacteria;c__PAUC37f,k__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__MSP41,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus
k__Bacteria;p__MVS-104,k__Bacteria;p__Acidobacteria;c__RB25,k__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera
k__Bacteria;p__NC10,k__Bacteria;p__Acidobacteria;c__S035,k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Stygiolobus
k__Bacteria;p__Nitrospirae,k__Bacteria;p__Acidobacteria;c__Solibacteres,k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MSBL1,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus
k__Bacteria;p__NKB19,k__Bacteria;p__Acidobacteria;c__Sva0725,k__Archaea;p__Nanoarchaeota;c__[Nanoarchaeoti];o__[Nanoarchaeotales],k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__pMC1,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermofilaceae;g__
k__Bacteria;p__NPL-UPA2,k__Bacteria;p__Acidobacteria;c__TM1,k__Bacteria;p__;c__;o__,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__WSA2,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__
k__Bacteria;p__OC31,k__Bacteria;p__Actinobacteria;c__,k__Bacteria;p__[Caldithrix];c__KSB1;o__,k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Caldivirga
k__Bacteria;p__OctSpA1-106,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia,k__Bacteria;p__[Caldithrix];c__KSB1;o__GW-22,k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum
k__Bacteria;p__OD1,k__Bacteria;p__Actinobacteria;c__Actinobacteria,k__Bacteria;p__[Caldithrix];c__KSB1;o__MSB-5B5,k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Thermocladium
