sample.id,sex,site,Crenarchaeota,Euryarchaeota,Parvarchaeota,Other,AD3,Acidobacteria,Actinobacteria,AncK6,Aquificae,Armatimonadetes,BHI80-139,BRC1,Bacteroidetes,Chlamydiae,Chlorobi,Chloroflexi,Cyanobacteria,Deferribacteres,Elusimicrobia,FBP,FCPU426,Fibrobacteres,Firmicutes,Fusobacteria,GAL15,GN02,GN04,Gemmatimonadetes,Lentisphaerae,MVP-21,NC10,NKB19,Nitrospirae,OD1,OP11,OP3,OP9,PAUC34f,Planctomycetes,Proteobacteria,SBR1093,SR1,Spirochaetes,Synergistetes,TM6,TM7,Tenericutes,Verrucomicrobia,WPS-2,WS2,WS3,WWE1,ZB3,Thermi
1726.107611,male,stool,0,0,0,0,0,0,0.0090527,0,0,0,0,0,0.356288393,0,0,0,0,0,0,0,0,0,0.606854187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015518914,0,0,0,0,0,0,0.002263175,0.010022632,0,0,0,0,0,0
1730.125746,female,stool,0,0,0,0,0,0,0.000762377,0,0,0,0,0,0.461762043,0,0,0,4.76E-05,0,0,0,0,0,0.492590651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037070567,0,0,0,0,0,0,0.000142946,0.007623767,0,0,0,0,0,0
1731.107605,female,stool,0,0.001081415,0,0,0,0,0.007878882,0,0,0,0,0,0.287501931,0,0,0,0.001081415,0,0,0,0,0,0.545342191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079097791,0,0,0,0.000617951,0,0,0.041711726,0.035686699,0,0,0,0,0,0
1747.107572,male,stool,0,0,0,0,0,0,0.03037942,0,0,0,0,0,0.322345033,0,0,0,0,0,0,0,0,0,0.552259065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094693297,0,0,0,0,0,0,0.000129274,0.000193911,0,0,0,0,0,0
1749.107597,female,stool,0,4.91E-05,0,0,0,0,0.009424238,0,0,0,0,0,0.379031071,0,0,0,0.000147254,0,0,0,0,0,0.607176165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003337751,0,0,0,0,0,9.82E-05,0.000589015,0.000147254,0,0,0,0,0,0
1763.107581,,stool,0,0,0,0,0,0,0.000729927,0,0,0,0,0,0.655839416,0,0,0,0,0,0,0,0,0,0.222445255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011678832,0,0,0,0,0,0,0.027189781,0.082116788,0,0,0,0,0,0
1779.107624,male,stool,0,0.00042346,0,0,0,0,0.003387677,0,0,0,0,0,0.380690239,0,0,0,0,0,0,0,0,0,0.585432988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02583104,0,0,0,0,0,0,0.000846919,0.003387677,0,0,0,0,0,0
1793.107604,male,stool,0,0,0,0,0,0,0.005209248,0,0,0,0,0,0.218437226,0,0,0,0.000175593,0,0,0,0,0,0.687503658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01539362,0,0,0,0,0,0,0.000292654,0.072988001,0,0,0,0,0,0
1794.107587,female,stool,0,0,0,0,0,0,0.01322794,0,0,0,0,0,0.452089047,0,0,0,0.000967898,0,0,0,0,0,0.373124698,0,0,0,0,0,0.000403291,0,0,0,0,0,0,0,0,0,0,0.122358445,0,0,0,0,0,0,0.000322633,0.037506049,0,0,0,0,0,0
1805.113192,male,stool,0,0.000135382,0,0,0,0,0.007784472,0,0,0,0,0,0.268868882,0,0,0,0.003113789,0,0,0,0,0,0.662763149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025045691,0,0,0,0,0,0,0.018005821,0.014282813,0,0,0,0,0,0
1833.105384,male,stool,0,0,0,0,0,0,0.019206668,0,0,0,0,0,0.236527134,0,0,0,0.001127961,0,0,0,0,0,0.714813886,3.13E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017922045,0,0,0,0,0,0,0.009556335,0.000814638,0,0,0,0,0,0
1907.10539,male,stool,0,0,0,0,0,0,0.007529829,0,0,0,0,0,0.514381419,0,0,0,5.54E-05,0,0,0,0,0,0.468344268,0.001660992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005647371,0,0,0,8.30E-05,0,2.77E-05,2.77E-05,0.002242339,0,0,0,0,0,0
1919.107637,female,stool,0,0,0,0,0,0,0.057007847,0,0,0,0,0,0.373910782,0,0,0,0.000780336,0,0,0,0,0,0.566783717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001473967,0,0,0,0,0,0,0,4.34E-05,0,0,0,0,0,0
1930.121075,female,stool,0,0,0,0,0,0,0.051782112,0,0,0,0,0,0.170981843,0,0,0,0,0,0,0,0,0,0.751513114,0,0,0,0,0,0.000168124,0,0,0,0,0,0,0,0,0,0,0.025218561,0,0,0,0,0,0,0,0.000336247,0,0,0,0,0,0
1939.107617,male,stool,0,0,0,0,0,0,0.005207028,0,0,0,0,0,0.264361095,0,0,0,0,0,0,0,0,0,0.718542032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011834155,0,0,0,0,0,0,0,5.57E-05,0,0,0,0,0,0
1940.107629,female,stool,0,0,0,0,0,0,0.080415309,0,0,0,0,0,0.159434621,0,0,0,5.82E-05,0,0,0,0,0,0.752123081,0.000116333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007212657,0,0,0,0,0,0,0,0.000639832,0,0,0,0,0,0
